Algorithm,Seed,MAE,RMSE,R2
Ridge Regression (Baseline),0,11.60650906526745,21.052208757461123,0.9496503366547387
Decision Tree Regressor,0,12.785125101974739,24.59396269993651,0.9312839391944445
Random Forest Regressor,0,11.431073880609828,20.85210661746418,0.9506029391573008
XGBoost Regressor (Redo),0,11.568533675156159,21.0634186462628,0.9495967019598199
Ridge Regression (Baseline),1,11.60650906526745,21.052208757461123,0.9496503366547387
Decision Tree Regressor,1,12.72272566731503,24.3316013940564,0.9327422055657462
Random Forest Regressor,1,11.470530092565545,20.93323635390804,0.9502178110001278
XGBoost Regressor (Redo),1,11.477893844985276,20.922429400613684,0.950269198650894
Ridge Regression (Baseline),2,11.60650906526745,21.052208757461123,0.9496503366547387
Decision Tree Regressor,2,12.810632499828026,24.68225431237092,0.9307896762606677
Random Forest Regressor,2,11.445155669331438,20.88417882926603,0.9504508690191351
XGBoost Regressor (Redo),2,11.575352460776541,21.03698747381665,0.9497231185141166
Ridge Regression (Baseline),3,11.60650906526745,21.052208757461123,0.9496503366547387
Decision Tree Regressor,3,12.754380869038725,24.285239361806198,0.9329982706910137
Random Forest Regressor,3,11.488548354259954,20.9669207655254,0.9500574695332272
XGBoost Regressor (Redo),3,11.497358625591424,20.790534279609556,0.9508942288670721
Ridge Regression (Baseline),4,11.60650906526745,21.052208757461123,0.9496503366547387
Decision Tree Regressor,4,12.799100955096835,24.692928137051005,0.9307298033993106
Random Forest Regressor,4,11.458451633186419,20.889961743413565,0.950423424507698
XGBoost Regressor (Redo),4,11.622270101893912,20.97028672402655,0.9500414330364677
